USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
New York,345406,0,26812,0,260494,17755.0,1378.0,1185460,60938.0
New Jersey,140008,0,9264,0,129209,15763.0,1043.0,415969,46832.0
Massachusetts,77793,0,4979,0,50666,11287.0,722.0,388389,56349.0
Illinois,77741,0,3406,0,73690,6135.0,269.0,429984,33932.0
California,67917,0,2717,0,54220,1719.0,69.0,958161,24250.0
Pennsylvania,60056,0,3823,0,55133,4691.0,299.0,293737,22945.0
Michigan,47138,0,4551,0,19901,4720.0,456.0,294411,29480.0
Florida,40596,0,1721,0,37829,1890.0,80.0,648382,30189.0
Texas,39890,0,1133,0,15168,1376.0,39.0,513978,17726.0
Connecticut,33554,0,2967,0,30522,9411.0,832.0,130192,36517.0
Georgia,33508,0,1405,0,31763,3156.0,132.0,243547,22938.0
Maryland,32587,0,1644,0,28902,5390.0,272.0,159931,26454.0
Louisiana,31600,0,2286,0,8998,6797.0,492.0,215872,46436.0
Indiana,24126,0,1508,0,21059,3584.0,224.0,140029,20800.0
Ohio,24081,0,1341,0,22292,2060.0,115.0,204862,17526.0
Virginia,24081,0,839,0,20118,2821.0,98.0,157957,18506.0
Colorado,19703,0,971,0,18173,3421.0,169.0,104077,18073.0
Washington,17610,0,932,0,13032,2313.0,122.0,248875,32683.0
Tennessee,14985,0,243,0,7373,2194.0,36.0,261869,38346.0
North Carolina,14939,0,564,0,12567,1424.0,54.0,192135,18319.0
Iowa,11959,0,265,0,7009,3790.0,84.0,74174,23509.0
Rhode Island,11274,0,422,0,10122,10642.0,398.0,91213,86102.0
Minnesota,11271,0,578,0,3811,1999.0,102.0,111088,19698.0
Arizona,11119,0,536,0,10513,1528.0,74.0,137739,18924.0
Wisconsin,10219,0,400,0,4805,1755.0,69.0,115382,19817.0
Missouri,10008,0,497,0,7448,1631.0,81.0,115546,18826.0
Alabama,9889,0,393,0,9476,2017.0,80.0,128506,26209.0
Mississippi,9501,0,430,0,4650,3192.0,144.0,91999,30912.0
Nebraska,8315,0,98,0,8195,4298.0,51.0,46314,23942.0
South Carolina,7653,0,331,0,2441,1486.0,64.0,84457,16404.0
Kansas,6953,0,174,0,5104,2387.0,60.0,52505,18022.0
Delaware,6447,0,224,0,3686,6621.0,230.0,31039,31875.0
Kentucky,6440,0,304,0,3828,1441.0,68.0,86900,19451.0
District Of Columbia,6272,0,323,0,5069,8887.0,458.0,29570,41899.0
Utah,6251,0,67,0,3999,1950.0,21.0,146510,45699.0
Nevada,6098,0,306,0,1595,1980.0,99.0,71603,23247.0
New Mexico,4863,0,200,0,3538,2319.0,95.0,102498,48882.0
Oklahoma,4589,0,272,0,1113,1160.0,69.0,95869,24228.0
Arkansas,4012,0,91,0,809,1329.0,30.0,69008,22867.0
South Dakota,3393,0,34,0,1234,3835.0,38.0,23894,27009.0
Oregon,3228,0,127,0,1976,765.0,30.0,75450,17889.0
New Hampshire,3071,0,133,0,1709,2259.0,98.0,34794,25589.0
Idaho,2230,0,67,0,784,1248.0,37.0,31961,17885.0
North Dakota,1491,0,35,0,664,1957.0,46.0,44869,58878.0
Maine,1436,0,64,0,511,1068.0,48.0,23500,17482.0
West Virginia,1362,0,54,0,570,760.0,30.0,62885,35089.0
Vermont,927,0,53,0,97,1486.0,85.0,20048,32129.0
Wyoming,662,0,7,0,227,1144.0,12.0,13416,23181.0
Hawaii,632,0,17,0,54,446.0,12.0,37712,26635.0
Montana,458,0,16,0,20,429.0,15.0,21704,20307.0
Alaska,379,0,10,0,45,518.0,14.0,27364,37406.0
