Country,Continent,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
USA,North America,1367638,0,80787,0,256336,1030515,16514,4132.0,244.0,9444525,28533.0
Spain,Europe,264663,0,26621,0,176439,61603,1650,5661.0,569.0,2467761,52781.0
UK,Europe,219183,0,31855,0,0,186984,1559,3229.0,469.0,1821280,26829.0
Italy,Europe,219070,0,30560,0,105186,83324,1027,3623.0,505.0,2565912,42439.0
Russia,Europe,209688,0,1915,0,34306,173467,2300,1437.0,13.0,5448463,37335.0
France,Europe,176970,0,26380,0,56217,94373,2776,2711.0,404.0,1384633,21213.0
Germany,Europe,171879,0,7569,0,145600,18710,1581,2051.0,90.0,2755770,32891.0
Brazil,South America,162699,0,11123,0,64957,86619,8318,765.0,52.0,339552,1597.0
Turkey,Asia,138657,0,3786,0,92691,42180,1154,1644.0,45.0,1370598,16251.0
Iran,Asia,107603,0,6640,0,86143,14820,2675,1281.0,79.0,586699,6985.0
China,Asia,82918,17,4633,0,78144,141,9,58.0,3.0,0,0.0
Canada,North America,68848,0,4870,0,32096,31882,502,1824.0,129.0,1135984,30099.0
Peru,South America,67307,0,1889,0,21349,44069,774,2041.0,57.0,504930,15314.0
India,Asia,67161,0,2212,0,20969,43980,0,49.0,2.0,1609037,1166.0
Belgium,Europe,53081,0,8656,0,13642,30783,476,4580.0,747.0,566101,48846.0
Netherlands,Europe,42627,0,5440,0,0,36937,507,2488.0,317.0,254573,14857.0
Saudi Arabia,Asia,39048,0,246,0,11457,27345,143,1122.0,7.0,449644,12916.0
Mexico,North America,35022,1562,3465,112,23100,8457,378,272.0,27.0,130956,1016.0
Pakistan,Asia,30334,0,659,0,8063,21612,111,137.0,3.0,283517,1284.0
Switzerland,Europe,30305,0,1833,0,26600,1872,101,3502.0,212.0,309595,35772.0
Ecuador,South America,29559,0,2127,0,3433,23999,181,1675.0,121.0,84287,4777.0
Chile,South America,28866,0,312,0,13112,15442,544,1510.0,16.0,280684,14683.0
Portugal,Europe,27581,0,1135,0,2549,23897,112,2705.0,111.0,517660,50767.0
Sweden,Europe,26322,0,3225,0,4971,18126,360,2606.0,319.0,148500,14704.0
Singapore,Asia,23336,0,20,0,2721,20595,23,3989.0,3.0,175604,30016.0
Ireland,Europe,22996,0,1458,0,17110,4428,72,4657.0,295.0,214761,43493.0
Belarus,Europe,22973,0,131,0,6406,16436,92,2431.0,14.0,263543,27890.0
Qatar,Asia,22520,0,14,0,2753,19753,72,7817.0,5.0,127769,44348.0
UAE,Asia,18198,0,198,0,4804,13196,1,1840.0,20.0,1200000,121330.0
Israel,Asia,16477,0,252,0,11430,4795,74,1904.0,29.0,455267,52598.0
Poland,Europe,15996,0,800,0,5698,9498,160,423.0,21.0,476904,12601.0
Austria,Europe,15871,0,618,0,13991,1262,72,1762.0,69.0,316508,35143.0
Japan,Asia,15777,0,624,0,8127,7026,287,125.0,5.0,214256,1694.0
Romania,Europe,15362,0,961,0,7051,7350,242,799.0,50.0,256749,13346.0
Ukraine,Europe,15232,0,391,0,3060,11781,201,348.0,9.0,176403,4034.0
Bangladesh,Asia,14657,0,228,0,2650,11779,1,89.0,1.0,122657,745.0
Indonesia,Asia,14032,0,973,0,2698,10361,0,51.0,4.0,158273,579.0
Colombia,South America,11063,0,463,0,2705,7895,130,217.0,9.0,144912,2848.0
S. Korea,Asia,10909,35,256,0,9632,1021,55,213.0,5.0,668492,13039.0
Philippines,Asia,10794,0,719,0,1924,8151,31,99.0,7.0,163177,1489.0
Denmark,Europe,10429,0,529,0,8217,1683,40,1801.0,91.0,317834,54873.0
Dominican Republic,North America,10347,0,388,0,2763,7196,134,954.0,36.0,42615,3928.0
Serbia,Europe,10114,0,215,0,3006,6893,43,1158.0,25.0,140592,16091.0
South Africa,Africa,10015,0,194,0,4173,5648,77,169.0,3.0,341336,5755.0
Egypt,Africa,9400,0,525,0,2075,6800,41,92.0,5.0,90000,879.0
Kuwait,Asia,8688,0,58,0,2729,5901,114,2034.0,14.0,196397,45988.0
Panama,North America,8448,166,244,7,4687,3517,87,1958.0,57.0,42657,9886.0
Czechia,Europe,8123,0,280,0,4474,3369,40,759.0,26.0,302493,28247.0
Norway,Europe,8105,0,219,0,32,7854,22,1495.0,40.0,195921,36140.0
Australia,Australia/Oceania,6948,7,97,0,6167,684,17,272.0,4.0,835085,32749.0
Malaysia,Asia,6656,0,108,0,5025,1523,18,206.0,3.0,256937,7938.0
Morocco,Africa,6063,0,188,0,2554,3321,1,164.0,5.0,65924,1786.0
Argentina,South America,6034,0,305,0,1757,3972,148,134.0,7.0,83018,1837.0
Finland,Europe,5962,0,267,0,4000,1695,45,1076.0,48.0,121500,21929.0
Algeria,Africa,5723,0,502,0,2678,2543,22,131.0,11.0,6500,148.0
Kazakhstan,Asia,5090,0,31,0,1941,3118,31,271.0,2.0,398411,21218.0
Bahrain,Asia,4941,0,8,0,2070,2863,2,2904.0,5.0,184029,108152.0
Moldova,Europe,4927,0,169,0,1958,2800,237,1221.0,42.0,20447,5069.0
Afghanistan,Asia,4402,0,120,0,558,3724,7,113.0,3.0,15560,400.0
Nigeria,Africa,4399,0,143,0,778,3478,4,21.0,0.7,23835,116.0
Ghana,Africa,4263,0,22,0,378,3863,5,137.0,0.7,155201,4995.0
Luxembourg,Europe,3886,0,101,0,3586,199,14,6208.0,161.0,55250,88262.0
Oman,Asia,3399,0,17,0,1117,2265,17,666.0,3.0,50000,9791.0
Armenia,Asia,3313,0,45,0,1325,1943,10,1118.0,15.0,31590,10661.0
Hungary,Europe,3263,0,413,0,933,1917,50,338.0,43.0,108257,11206.0
Thailand,Asia,3009,0,56,0,2794,159,61,43.0,0.8,227860,3264.0
Iraq,Asia,2767,0,109,0,1734,924,0,69.0,3.0,127153,3161.0
Greece,Europe,2716,0,151,0,1374,1191,30,261.0,14.0,98897,9488.0
Cameroon,Africa,2579,0,114,0,1465,1000,28,97.0,4.0,0,0.0
